year,name,count
2000,Maxine,25
2000,Makeda,6
2000,Devora,19
2000,Janai,8
2000,Geovanny,5
2000,Malachi,66
2000,Masai,6
2000,Shlomie,9
2000,Brenna,38
2000,Dawood,5
2000,Valentin,8
2000,London,8
2000,Erik,179
2000,Yessenia,5
2000,Heba,9
2000,Liza,15
2000,Gabriella,456
2000,Clay,10
2000,Kristi,15
2000,Shyanna,6
2000,Dayna,32
2000,Fraidy,25
2000,Fernando,103
2000,Rehan,5
2000,Sheldon,20
2000,Gianella,6
2000,Anabelle,8
2000,Raziel,8
2000,Corrine,16
2000,Leana,10
2000,Chanie,12
2000,Brandi,29
2000,Geraldo,6
2000,Dangelo,16
2000,Tricia,9
2000,Madeline,275
2000,Daevon,6
2000,Pinchas,22
2000,Althea,7
2000,Krystal,78
2000,Aleah,18
2000,Hali,5
2000,Shade,8
2000,Frimet,11
2000,Leela,6
2000,Katy,8
2000,Arnold,14
2000,Ashley,1295
2000,Victor,235
2000,Kassandra,56
2000,Theodora,9
2000,Shaquana,5
2000,Kaylene,5
2000,Shamel,17
2000,Raven,82
2000,Yasmine,56
2000,Marjorie,11
2000,Francis,87
2000,Gabriel,472
2000,Marcanthony,10
2000,Moishe,21
2000,Marlene,34
2000,Kenrick,6
2000,Kerry,46
2000,Natasha,96
2000,Ismail,20
2000,Breanne,12
2000,Leena,7
2000,Seamus,26
2000,Brooklyn,16
2000,Maximillian,19
2000,Roderick,5
2000,Jermaine,37
2000,Dalilah,5
2000,Solomon,61
2000,Shane,255
2000,Myesha,7
2000,Marie,42
2000,Amaia,8
2000,Tyleek,7
2000,Ulises,10
2000,Harrison,115
2000,Douglas,82
2000,Jaydin,5
2000,Isabell,5
2000,Hassaan,6
2000,Walter,59
2000,Christy,34
2000,Ashlyn,31
2000,Henry,289
2000,Alonzo,19
2000,Raizy,33
2000,Brittany,280
2000,Sebastien,15
2000,Nissim,5
2000,Sharleen,5
2000,Lindsey,157
2000,Brianny,5
2000,Ivette,11
2000,Juliana,144
2000,Emilia,25
2000,Brigitte,8
2000,Vanesa,14
2000,Johncarlos,6
