Name,Count of Baby Names,Count of Dog Names
Aaliyah,36235,7
Aarav,934,1
Aaron,86976,7
Aaryn,514,1
Abagail,2764,1
Abbey,4930,28
Abbi,667,2
Abbie,4626,18
Abbott,110,6
Abby,17171,148
Abe,431,8
Abel,8352,2
Abi,179,3
Abigail,150776,35
Abigale,2725,1
Abilene,326,1
Able,158,1
Abner,1326,3
Abraham,19734,6
Abree,202,1
Abril,3709,2
Abu,129,2
Ace,1724,128
Achilles,693,35
Ada,3284,7
Adah,433,1
Adalyn,2327,2
Adam,70936,10
Adama,306,1
Addie,2045,18
Addison,55016,9
Addy,428,6
Ade,55,1
Adela,1362,1
Adelaide,2907,10
Adele,1275,3
Adelia,399,1
Adelina,1541,1
Adeline,5705,5
Adella,279,1
Adelle,722,2
Adi,505,2
Adina,1055,3
Adolfo,3910,1
Adonis,2335,7
Adora,446,2
Adrian,67717,6
Adriana,27337,1
Adriane,401,1
Adrienne,4176,2
Aengus,60,1
Africa,132,1
Agatha,362,8
Agnes,628,20
Agustina,285,2
Aidan,77958,6
Aiden,84321,7
Aiko,310,5
Ailsa,122,2
Aimee,4093,3
Aine,576,3
Ainsley,6446,1
Aisha,3918,2
Aiyana,3844,3
Aj,591,27
Aja,1798,5
Ajay,1444,3
Akasha,643,3
Akeelah,936,1
Akela,159,2
Akemi,189,1
Aki,81,2
Akila,147,2
Akina,169,1
Akio,104,1
Akira,2980,11
Al,323,4
Alabama,122,10
Alain,653,1
Alan,29582,4
Alana,17873,1
Alanis,1064,1
Alanna,6157,1
Alaric,329,2
Alasha,113,1
Alaska,185,2
Alastair,229,4
Alayah,1395,1
Alba,716,1
Alban,135,1
Albany,230,2
Albert,9059,20
Alberto,10845,1
Aldo,4291,6
Alec,13705,3
Alee,145,1
Aleeya,425,1
Alejandro,43180,5
Alejo,125,1
Alessandra,5969,1
Alessia,1202,1
Alex,65735,54
Alexa,48105,2
Alexander,178896,18
Alexandra,61284,3
Alexi,2048,1
Alexie,718,1
Alexis,158443,3
Alexus,7243,1
Alexxa,257,1
Alfonso,4501,3
Alfred,2913,8
Alfredo,8928,3
Ali,10126,19
Alice,8213,37
Alicia,23067,7
Alie,177,1
Alisa,3529,2
Alison,13254,2
Alistair,445,3
Alister,169,1
Alix,789,1
Aliyah,15260,1
Aliza,3078,2
Alize,2836,2
Allan,5185,1
Allegra,604,4
Allen,12466,3
Alley,459,8
Alli,1501,3
Allie,11500,28
Allison,59998,5
Ally,4124,20
Alma,4574,10
Alondra,19527,1
Alonso,3220,1
Alonzo,4316,4
Aloysius,121,1
Alpha,422,7
Alston,469,1
Alta,183,2
Alva,130,1
Alvin,5133,17
Alvina,197,2
Aly,612,1
Alyssa,114396,1
Alyvia,1893,1
Amada,230,1
Amadeus,324,4
Aman,947,1
Amanda,46520,9
Amani,5183,2
Amaya,15224,5
Ambar,628,1
Amber,36178,71
Ambrose,482,1
Ambrosia,341,1
Amelia,33132,13
Amelie,2671,4
America,5970,3
Amethyst,831,2
Ami,809,3
Amie,1153,2
Amina,2881,1
Amir,9001,4
Amira,4616,1
Amor,438,1
Amora,472,6
Amore,360,3
Amory,223,2
Amos,1649,9
Amra,152,1
Amy,28746,43
Ana,23173,4
Anabel,2285,4
Anabella,1990,2
Anabelle,2939,4
Anai,1147,1
Anakin,920,6
Analee,486,1
Analiese,775,1
Ananda,690,1
Anastasia,10807,12
Anden,338,1
Anders,1425,2
Anderson,5984,3
Andi,1317,3
Andie,1303,3
Andre,17730,5
Andrew,202308,11
Andrina,113,1
Andromeda,184,2
